9.7141 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2880, 1920]. Using actual size
10.8373 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000258BF784E50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000258BF784FD0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000258BF784D00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000258C61EE850>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([2880, 1920]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.8375 	EXP 	window1: mouseVisible = True
10.8375 	EXP 	window1: backgroundImage = ''
10.8375 	EXP 	window1: backgroundFit = 'none'
10.8377 	EXP 	window1: mouseVisible = False
10.8377 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.8377 	EXP 	window1: recordFrameIntervals = False
11.0034 	EXP 	window1: recordFrameIntervals = True
11.1871 	EXP 	Screen (0) actual frame rate measured at 59.93Hz
11.1872 	EXP 	window1: recordFrameIntervals = False
13.0411 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
13.0560 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-2.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
13.0567 	EXP 	Created sequence: random, trialTypes=1, nReps=10, seed=None
13.0570 	EXP 	New trial (rep=0, index=0): None
13.0639 	EXP 	grating: ori = 0.0
13.0639 	EXP 	fixation: autoDraw = True
14.0759 	EXP 	fixation: autoDraw = False
14.0759 	EXP 	grating: autoDraw = True
14.0759 	EXP 	grating: tex = 'sin'
14.3399 	EXP 	New trial (rep=1, index=0): None
14.3432 	DATA 	Keypress: up
14.3534 	EXP 	fixation: autoDraw = False
14.3534 	EXP 	grating: autoDraw = False
14.3534 	EXP 	grating: ori = 2.0
14.3534 	EXP 	fixation: autoDraw = True
15.0396 	DATA 	Keypress: down
15.3537 	EXP 	fixation: autoDraw = False
15.3537 	EXP 	grating: autoDraw = True
15.6534 	EXP 	grating: autoDraw = False
15.8558 	EXP 	New trial (rep=2, index=0): None
15.8576 	DATA 	Keypress: down
15.8701 	EXP 	fixation: autoDraw = False
15.8701 	EXP 	grating: autoDraw = False
15.8701 	EXP 	grating: ori = 0.0
15.8701 	EXP 	fixation: autoDraw = True
16.7063 	DATA 	Keypress: up
16.8702 	EXP 	fixation: autoDraw = False
16.8702 	EXP 	grating: autoDraw = True
17.1703 	EXP 	grating: autoDraw = False
17.8223 	EXP 	New trial (rep=3, index=0): None
17.8280 	DATA 	Keypress: down
17.8365 	EXP 	fixation: autoDraw = False
17.8365 	EXP 	grating: autoDraw = False
17.8365 	EXP 	grating: ori = 4.0
17.8365 	EXP 	fixation: autoDraw = True
18.8066 	DATA 	Keypress: down
18.8368 	EXP 	fixation: autoDraw = False
18.8368 	EXP 	grating: autoDraw = True
19.1365 	EXP 	grating: autoDraw = False
20.9228 	EXP 	New trial (rep=4, index=0): None
20.9261 	DATA 	Keypress: down
20.9369 	EXP 	fixation: autoDraw = False
20.9369 	EXP 	grating: autoDraw = False
20.9369 	EXP 	grating: ori = -4.0
20.9369 	EXP 	fixation: autoDraw = True
21.9371 	EXP 	fixation: autoDraw = False
21.9371 	EXP 	grating: autoDraw = True
22.2367 	EXP 	grating: autoDraw = False
22.3222 	EXP 	New trial (rep=5, index=0): None
22.3243 	DATA 	Keypress: up
22.3367 	EXP 	fixation: autoDraw = False
22.3367 	EXP 	grating: autoDraw = False
22.3367 	EXP 	grating: ori = 1.0
22.3367 	EXP 	fixation: autoDraw = True
23.3368 	EXP 	fixation: autoDraw = False
23.3368 	EXP 	grating: autoDraw = True
23.6364 	EXP 	grating: autoDraw = False
23.8219 	EXP 	New trial (rep=6, index=0): None
